# konversja wspó³rzednych geodezyjnych
3.664940500000000466e+06,1.409153590000000084e+06,5.009571169999972917e+06,5.209727221841271927e+01,2.103153333279777115e+01,1.413985868236050010e+02,5.776114621329068206e+06,1.392119392811944417e+05,4.720713410941381007e+05,6.391144909236975946e+05,5.774167331858291291e+06,2.160949637465499563e+03,5.773722720973738469e+06,7.502160783244343475e+06
3.664940509999999776e+06,1.409153580000000075e+06,5.009571166999972425e+06,5.209727216111063797e+01,2.103153314423015274e+01,1.413997489511966705e+02,5.776114614592460915e+06,1.392119265392504458e+05,4.720713343622460961e+05,6.391144781906729331e+05,5.774167325476723723e+06,2.160936717873294128e+03,5.773722714592661709e+06,7.502160770325746387e+06
3.664940520000000019e+06,1.409153570000000065e+06,5.009571166999974288e+06,5.209727212037133626e+01,2.103153295566253433e+01,1.414032782446593046e+02,5.776114609698496759e+06,1.392119137457319594e+05,4.720713294717073441e+05,6.391144654061099282e+05,5.774167320938082412e+06,2.160923797480529174e+03,5.773722710054370575e+06,7.502160757406348363e+06
3.664940529999999795e+06,1.409153560000000289e+06,5.009571167999971658e+06,5.209727208515294450e+01,2.103153276709492303e+01,1.414075965918600559e+02,5.776114605418745428e+06,1.392119009350225388e+05,4.720713251949520782e+05,6.391144526043679798e+05,5.774167317013748921e+06,2.160910876821408692e+03,5.773722706130338833e+06,7.502160744486683980e+06
3.664940520000000019e+06,1.409153590000000084e+06,5.009571169999972917e+06,5.209727208603573700e+01,2.103153322806154435e+01,1.414100547926500440e+02,5.776114606400991790e+06,1.392119325170264347e+05,4.720713261765111238e+05,6.391144841642645188e+05,5.774167317125694826e+06,2.160942466387130025e+03,5.773722706242276356e+06,7.502160776073817164e+06
3.664940513999999966e+06,1.409153584000000032e+06,5.009571165999973193e+06,5.209727211893464016e+01,2.103153317776270725e+01,1.414021353675052524e+02,5.776114609964599833e+06,1.392119289681816881e+05,4.720713297376241535e+05,6.391144806179039879e+05,5.774167320784831420e+06,2.160939017865505321e+03,5.773722709901130758e+06,7.502160772625560872e+06
3.664940524999999441e+06,1.409153574999999721e+06,5.009571165999974124e+06,5.209727206903156826e+01,2.103153299757822836e+01,1.414064585287123919e+02,5.776114604067225009e+06,1.392119167775983224e+05,4.720713238443778828e+05,6.391144684358539525e+05,5.774167315226795152e+06,2.160926672404251804e+03,5.773722704343522899e+06,7.502160760281050578e+06
3.664940532999999821e+06,1.409153564000000013e+06,5.009571168999972753e+06,5.209727206063765692e+01,2.103153280586428764e+01,1.414109877189621329e+02,5.776114602765718475e+06,1.392119036677794356e+05,4.720713225437821820e+05,6.391144553352119401e+05,5.774167314287105575e+06,2.160913534834030543e+03,5.773722703403905965e+06,7.502160747144491412e+06
3.664940515000000596e+06,1.409153590000000084e+06,5.009571169999973848e+06,5.209727211912998968e+01,2.103153325424559839e+01,1.414071878008544445e+02,5.776114610133010894e+06,1.392119342080682109e+05,4.720713299059178680e+05,6.391144858541225549e+05,5.774167320808844641e+06,2.160944259156508451e+03,5.773722709925142117e+06,7.502160777866448276e+06
3.664940513999999966e+06,1.409153584000000032e+06,5.009571168999972753e+06,5.209727213549741975e+01,2.103153317776270725e+01,1.414045025315135717e+02,5.776114611807243899e+06,1.392119289166075177e+05,4.720713315789783373e+05,6.391144805663658772e+05,5.774167322627758607e+06,2.160939017065191365e+03,5.773722711743916385e+06,7.502160772624760866e+06
3.664940514999998733e+06,1.409153594999999739e+06,5.009571168999973685e+06,5.209727210088446725e+01,2.103153332234535000e+01,1.414075010912492871e+02,5.776114608233759180e+06,1.392119389309768158e+05,4.720713280079951510e+05,6.391144905737251975e+05,5.774167318780706264e+06,2.160948926850066073e+03,5.773722707897160202e+06,7.502160782533782534e+06
3.664940512999998871e+06,1.409153583999999566e+06,5.009571170999971218e+06,5.209727215315812288e+01,2.103153318299951735e+01,1.414055072413757443e+02,5.776114613782078028e+06,1.392119292204331432e+05,4.720713335524303839e+05,6.391144808699788991e+05,5.774167324593007565e+06,2.160939375085611573e+03,5.773722713709013537e+06,7.502160772982753813e+06
